model,accuracy,stat_parity_diff,equal_opp_diff,disparate_impact,equalized_odds_diff
Logistic Regression,0.7533333333333333,-0.22135007849293564,-0.15274736732353256,0.7354596622889306,-0.23502030020311965
Decision Tree,0.72,-0.10341444270015698,-0.044937962673339604,0.8541781959048146,-0.11094015928153195
Random Forest,0.78,-0.08222135007849296,-0.022208320300281525,0.9023310023310023,-0.08955027543836133
XGBoost,0.7766666666666666,-0.04297488226059665,-0.015431133354186222,0.9423076923076922,-0.027013812291128175
