model,accuracy,stat_parity_diff,equal_opp_diff,disparate_impact,equalized_odds_diff
Logistic Regression,0.76,-0.09909733124018838,-0.05870086539464081,0.8762861342479177,-0.09576647279757103
Decision Tree,0.75,-0.02138932496075352,0.005943071629652796,0.9696209587513935,-0.007554779974647263
Random Forest,0.8,-0.08104395604395598,-0.022208320300281525,0.9013377926421405,-0.08303398471154427
XGBoost,0.78,-0.06279434850863419,-0.04431237618600781,0.9168399168399168,-0.04145443370703897
