training_subset,model,accuracy,stat_parity_diff,equal_opp_diff,disparate_impact,equalized_odds_diff
privileged_only,Logistic Regression,0.758214103444028,0.05310905254993936,0.037424127539268714,1.0938455865668182,0.08623951724759804
privileged_only,Decision Tree,0.7652007109797089,0.017721057083792124,-0.004319427528504227,1.0362679448106915,0.05003132115432857
privileged_only,Random Forest,0.7953293560706052,0.013451917749843223,-0.008257707086635313,1.0259115415532007,0.04994714203418599
privileged_only,XGBoost,0.8150836809038593,0.012628584793070385,-0.004435019165515031,1.02361769572267,0.0521873663577473
unprivileged_only,Logistic Regression,0.7588916459884202,0.03067874843433438,0.06672392548066242,1.0673025252412789,0.0665274339706184
unprivileged_only,Decision Tree,0.7419266846171445,0.004710260588095927,0.028854537417069892,1.0113831974657461,0.0367174086576723
unprivileged_only,Random Forest,0.7722929095612692,0.009200788864980491,0.028455057943502227,1.0210583975827388,0.04501718151999842
unprivileged_only,XGBoost,0.8067507875332172,0.004417739943057164,0.023004161018652436,1.009253936562838,0.0450006300499336
combined,Logistic Regression,0.7700754975978037,-0.09079853076368088,-0.08432630118622775,0.8431272370299013,-0.055701379790281946
combined,Decision Tree,0.768201256533446,-0.07069817632577463,-0.10528503856476568,0.855054900488649,-0.039890047048100286
combined,Random Forest,0.7976347605723034,-0.0692882904179643,-0.10215077492016844,0.8659586005301936,-0.0342326603461955
combined,XGBoost,0.8222110765007128,-0.04922128730975639,-0.061443683281550365,0.9078428834525851,-0.008994638195846325
