model,accuracy,stat_parity_diff,equal_opp_diff,disparate_impact,equalized_odds_diff
Logistic Regression,0.7700754975978037,-0.09079853076368088,-0.08432630118622775,0.8431272370299013,-0.055701379790281946
Decision Tree,0.768201256533446,-0.07069817632577463,-0.10528503856476568,0.855054900488649,-0.039890047048100286
Random Forest,0.7976347605723034,-0.0692882904179643,-0.10215077492016844,0.8659586005301936,-0.0342326603461955
XGBoost,0.8222110765007128,-0.04922128730975639,-0.061443683281550365,0.9078428834525851,-0.008994638195846325
