model,accuracy,stat_parity_diff,equal_opp_diff,disparate_impact,equalized_odds_diff
Logistic Regression,0.8074444444444444,0.034567334090025326,0.01791733026666964,1.0385068754171016,0.03794625076234465
Decision Tree,0.7246666666666667,0.03579869522337775,0.03047644672033334,1.0481195466063116,0.025952250365975482
Random Forest,0.8105555555555556,0.034831913879741494,0.021157029097142344,1.0414457142657725,0.027833041457469176
XGBoost,0.8101111111111111,0.04066007872252109,0.022842102979148127,1.0483006285220966,0.039083210662132106
