training_subset,model,accuracy,stat_parity_diff,equal_opp_diff,disparate_impact,equalized_odds_diff
privileged_only,Logistic Regression,0.8077777777777778,0.02003103641337234,0.012206565842862394,1.0221833860772476,0.01274901424554592
privileged_only,Decision Tree,0.7116666666666667,0.025351189536224394,0.02204491505196693,1.0343976721093169,0.014316935176787449
privileged_only,Random Forest,0.8021111111111111,0.02566609196972558,0.012648425803371888,1.0304287847116358,0.019319559225634275
privileged_only,XGBoost,0.7958888888888889,0.029372370120883895,0.020591923969882964,1.0349610904450097,0.019293493206859358
unprivileged_only,Logistic Regression,0.8067777777777778,0.018726198045536435,0.00892477271247849,1.020586226885634,0.014571455053268678
unprivileged_only,Decision Tree,0.7298888888888889,0.001713439711697573,-0.006803827543558905,1.0022379239807466,-0.005483538114205433
unprivileged_only,Random Forest,0.8128888888888889,0.029085098832283163,0.014351986460390043,1.0343351166720454,0.023171169226075816
unprivileged_only,XGBoost,0.8054444444444444,0.024077069592048472,0.013945103825373728,1.0281642989666986,0.014883018082987531
combined,Logistic Regression,0.8074444444444444,0.034567334090025326,0.01791733026666964,1.0385068754171016,0.03794625076234465
combined,Decision Tree,0.7246666666666667,0.03579869522337775,0.03047644672033334,1.0481195466063116,0.025952250365975482
combined,Random Forest,0.8105555555555556,0.034831913879741494,0.021157029097142344,1.0414457142657725,0.027833041457469176
combined,XGBoost,0.8101111111111111,0.04066007872252109,0.022842102979148127,1.0483006285220966,0.039083210662132106
